SampleID	CoreID	CoreName	wet_weight	DCA	HDCA_UDCA	CDCA	aMCA	bMCA	CA	HCA	wMCA	GLCA	GCDCA	GDCA	GHDCA	GUDCA	GCA	GHCA	TLCA	TCDCA	TDCA	THDCA_TUDCA	THCA	TaMCA_TbMCA	TCA
cecal_d21_1199_4	B1199-4	S00026708	19.2	0.10063851	0	0	0.022907788	0.474572549	0.404977342	0	0.119279574	0	5.48225e-5	0	2.24982e-4	0	0.001218995	0	3.9757e-4	4.23651e-4	3.02422e-4	0.001024211	0	0.377917342	0.004673463
cecal_d21_1200_1	B1200-1	S00026709	15	2.182930669	0	0	0.744157669	2.793458063	0.035232471	0	0.824234604	0	1.00393e-4	9.61025e-4	3.25461e-5	0	0	0	0.002238016	0	0.020628657	0.001814184	0	0.823884288	0.006472195
cecal_d21_1200_2	B1200-2	S00026710	18.4	1.595777879	0	0	0.261755516	2.28737963	0.076841623	0.01420889	0.568162802	0	6.12233e-5	0.001414874	1.05819e-4	0	0	0	0.002043687	0	0.020953439	0.003174543	0	0.859257465	0.006209151
cecal_d21_1205_2	B1205-2	S00026711	11.8	2.835141336	0	0	0.828602066	3.359680545	1.235542396	0.099246677	4.556487071	0	1.28209e-4	6.10902e-4	5.21534e-4	0	0.001033618	0	0.00201442	0.005896159	0.006779053	0.012655153	0	20.42826181	0.149365753
cecal_d21_1205_4	B1205-4	S00026712	16.9	1.354246781	0	0	0.113329017	0.309759867	0.077718315	0.004065067	1.829842144	0	6.56217e-5	3.39559e-4	9.56616e-5	0	2.05859e-5	0	0.001266485	0.001860364	0.003286612	0.001178595	0	0.277344693	0.009134255
cecal_d21_1209_1	B1209-1	S00026713	8.7	4.493557487	0	0	1.935620531	4.524528129	0.758317849	0.120237007	11.62317091	0	1.03532e-4	0.002105315	2.21817e-4	0	7.1819e-4	0	0.007045152	0.01031303	0.035440699	0.012623699	0	5.484608022	0.045723828
cecal_d21_1209_2	B1209-2	S00026714	16.5	2.548175897	0	0	1.201026134	2.014249541	0.445499701	0.034949284	6.614871705	0	0	0.003127741	4.77052e-4	0	2.94782e-4	0	0.010242542	0.003792473	0.044581266	0.014153608	0	3.012765109	0.026396267
cecal_d21_1203_2	B1203-2	S00026715	23.8	0.016887333	0	0.029945245	0.434800871	2.122189608	1.233770213	0.022550339	0	0	9.25851e-5	0	3.51441e-5	0	0.001096414	0	0.002075327	0.001136746	8.71735e-4	0.002269475	0	1.589108962	0.25772476
cecal_d21_1203_3	B1203-3	S00026716	26.5	0.010406368	0	0.011832747	0.139452418	1.298311953	0.623829638	0.012266754	0	NA	4.23328e-5	0	3.54565e-5	0	5.57973e-4	0	7.54657e-4	4.15452e-4	0	8.61825e-4	0	0.405100247	0.159014866
cecal_d21_1207_1	B1207-1	S00026717	12.8	0.373835947	0	0	0.917781738	4.555018244	1.945107602	0.022072699	0.283257584	0	5.75438e-5	0	1.55528e-5	5.88276e-5	3.47893e-4	0	7.07064e-4	8.66906e-4	0	0.003322574	0	3.009079005	0.069209388
