feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu00264	status	colonized	-1.28294954107648	0.166590410857219	98	24	1.21175649575329e-11	5.62004305789024e-11
Otu00224	status	colonized	-2.07847754867163	0.271517419240598	98	21	1.51478647791305e-11	6.90639936540016e-11
Otu00232	status	colonized	-1.58881791746525	0.207663492100841	98	22	1.54521547058035e-11	6.92771602643525e-11
Otu00009	status	colonized	-4.24769183786632	0.561765512646167	98	23	2.38067637730352e-11	1.04983925490926e-10
Otu00063	status	colonized	-1.63496423302481	0.219093040622932	98	19	3.83118692831457e-11	1.6622407801881e-10
Otu00048	status	colonized	4.1788953729113	0.560726114017964	98	41	4.01523163570893e-11	1.71444017461223e-10
Otu00581	status	colonized	-0.928104054132017	0.125561850397035	98	22	5.38123329506277e-11	2.26179961933107e-10
Otu00036	status	colonized	-3.39984665181711	0.462736899950389	98	21	6.65465081034782e-11	2.75400164305164e-10
Otu00013	status	colonized	3.80500918032015	0.520925252238096	98	51	8.17100952486833e-11	3.33030539725694e-10
Otu00302	status	colonized	-0.745539527046517	0.102251875857045	98	20	8.69963487481255e-11	3.47435667315842e-10
Otu00369	status	colonized	-1.18464062430309	0.162519638424348	98	21	8.78276036337444e-11	3.47435667315842e-10
Otu00184	status	colonized	-2.06037088593389	0.283364770039603	98	21	9.57662346817717e-11	3.73349523614443e-10
Otu00143	status	colonized	-1.78762909288034	0.247757204010139	98	20	1.24983949163739e-10	4.80295461786368e-10
Otu00053	status	colonized	-2.10726453542252	0.296685918115254	98	22	2.13420463571137e-10	8.08593023952617e-10
Otu00376	status	colonized	-1.03621216224012	0.147604365260013	98	20	3.15400400553325e-10	1.17837094095617e-09
Otu00370	status	colonized	-0.901358185683641	0.132449399972219	98	23	8.67160302758828e-10	3.19542632112500e-09
Otu00475	status	colonized	-0.970940878475831	0.144036289388752	98	19	1.17172116249012e-09	4.25936476634924e-09
Otu00274	status	colonized	-2.15608194138089	0.333659614545212	98	35	4.27422446771978e-09	1.53302184242216e-08
Otu00365	status	colonized	-1.03970629783323	0.161410740643638	98	19	4.69817915250095e-09	1.66290814739836e-08
Otu00304	status	colonized	-0.97235891685135	0.154333275154877	98	20	8.96252310797302e-09	3.13106326759057e-08
Otu00033	status	colonized	-1.51233784225131	0.240325925285994	98	17	9.27539659057425e-09	3.17147285295664e-08
Otu00437	status	colonized	-0.804186148707121	0.127811883264661	98	17	9.31399090645259e-09	3.17147285295664e-08
Otu00335	status	colonized	-1.2762173935311	0.203415072210062	98	25	1.01100955602126e-08	3.37723372425928e-08
Otu00425	status	colonized	-0.995451435113901	0.158696511902817	98	20	1.01693654894053e-08	3.37723372425928e-08
Otu00272	status	colonized	-1.37980796925516	0.222374194463889	98	19	1.38391448314689e-08	4.48521681887365e-08
Otu00483	status	colonized	-0.715996029630532	0.11537605297798	98	18	1.37848228696572e-08	4.48521681887365e-08
Otu00148	status	colonized	-2.61891410954432	0.423075649784907	98	39	1.47939256378797e-08	4.7375785673686e-08
Otu00006	status	colonized	4.97671614924026	0.80455748152034	98	43	1.51002717639818e-08	4.77879188766011e-08
Otu00120	status	colonized	-1.58926007810601	0.257586942289926	98	17	1.62244715231785e-08	5.07486376713375e-08
Otu00300	status	colonized	-1.39243117319858	0.22597257351969	98	17	1.68114286499272e-08	5.19801644463267e-08
Otu00059	status	colonized	-1.80501416723234	0.295230734706338	98	16	2.08857582954063e-08	6.38439656984578e-08
Otu00243	status	colonized	-1.39612257162222	0.229047733739134	98	32	2.27099539514376e-08	6.86401978981654e-08
Otu00041	status	colonized	-2.20152331117362	0.364261784870863	98	76	2.8634429327111e-08	8.55851276554763e-08
