seqID	sampleID	sampleType
d9_5415	d9_5415	mouse
d9_5419	d9_5419	mouse
d9_5420	d9_5420	mouse
d9_5423	d9_5423	mouse
d0_2904	d0_2904	mouse
d0_2933	d0_2933	mouse
d0_2935	d0_2935	mouse
d0_2949	d0_2949	mouse
d0_2956	d0_2956	mouse
d0_2966	d0_2966	mouse
d0_2988	d0_2988	mouse
d0_3739	d0_3739	mouse
d0_3755	d0_3755	mouse
d0_3765	d0_3765	mouse
d0_3776	d0_3776	mouse
d0_3797	d0_3797	mouse
d0_3827	d0_3827	mouse
d0_3830	d0_3830	mouse
d0_3836	d0_3836	mouse
d0_3844	d0_3844	mouse
d0_4837	d0_4837	mouse
d0_4914	d0_4914	mouse
d0_5925	d0_5925	mouse
d0_5942	d0_5942	mouse
d0_5957	d0_5957	mouse
d0_5964	d0_5964	mouse
d0_5969	d0_5969	mouse
d0_5978	d0_5978	mouse
d1_2904	d1_2904	mouse
d1_2933	d1_2933	mouse
d1_2935	d1_2935	mouse
d1_2949	d1_2949	mouse
d1_2956	d1_2956	mouse
d1_2966	d1_2966	mouse
d1_2988	d1_2988	mouse
d1_3739	d1_3739	mouse
d1_3755	d1_3755	mouse
d1_3765	d1_3765	mouse
d1_3776	d1_3776	mouse
d1_3797	d1_3797	mouse
d1_3827	d1_3827	mouse
d1_3830	d1_3830	mouse
d1_3836	d1_3836	mouse
d1_3844	d1_3844	mouse
d1_4837	d1_4837	mouse
d1_4914	d1_4914	mouse
d1_5925	d1_5925	mouse
d1_5942	d1_5942	mouse
d1_5957	d1_5957	mouse
d1_5964	d1_5964	mouse
d1_5969	d1_5969	mouse
d1_5978	d1_5978	mouse
d11_2904	d11_2904	mouse
d11_2933	d11_2933	mouse
d11_2935	d11_2935	mouse
d11_2949	d11_2949	mouse
d11_2956	d11_2956	mouse
d11_2966	d11_2966	mouse
d11_2988	d11_2988	mouse
d11_3739	d11_3739	mouse
d11_3755	d11_3755	mouse
d11_3765	d11_3765	mouse
d11_3776	d11_3776	mouse
d11_3797	d11_3797	mouse
d11_3827	d11_3827	mouse
d11_3830	d11_3830	mouse
d11_3836	d11_3836	mouse
d11_3844	d11_3844	mouse
d11_4837	d11_4837	mouse
d11_4914	d11_4914	mouse
d11_5925	d11_5925	mouse
d11_5942	d11_5942	mouse
d11_5957	d11_5957	mouse
d11_5964	d11_5964	mouse
d11_5969	d11_5969	mouse
d11_5978	d11_5978	mouse
d14_2904	d14_2904	mouse
d14_2933	d14_2933	mouse
d14_2935	d14_2935	mouse
d14_2949	d14_2949	mouse
d14_2956	d14_2956	mouse
d14_2966	d14_2966	mouse
d14_2988	d14_2988	mouse
d14_3739	d14_3739	mouse
d14_3755	d14_3755	mouse
d14_3765	d14_3765	mouse
d14_3776	d14_3776	mouse
d14_3797	d14_3797	mouse
d14_3827	d14_3827	mouse
d14_3830	d14_3830	mouse
