seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	Bacteroides	Porphyromonadaceae_unclassified	Alistipes	Parabacteroides	Bacteroidales_unclassified	Barnesiella	Bacteroidetes_unclassified	Prevotella	Odoribacter	Alloprevotella	Lactobacillus	Blautia	Lachnospiraceae_unclassified	Turicibacter	Firmicutes_unclassified	Clostridium_XlVa	Ruminococcaceae_unclassified	Peptostreptococcaceae_unclassified	Clostridiales_unclassified	Erysipelotrichaceae_unclassified	Clostridium_sensu_stricto	Enterococcus	Staphylococcus	Faecalicoccus	Hungatella	Clostridium_XVIII	Anaerostipes	Flavonifractor	Faecalibacterium	Oscillibacter	Clostridium_IV	Ruminococcus2	Ruminococcus	Terrisporobacter	Eisenbergiella	Fusicatenibacter	Streptococcus	Bacillus	Roseburia	Listeria	Phascolarctobacterium	Romboutsia	Acetatifactor	Coprobacillus	Intestinibacter	Pseudoflavonifractor	Clostridium_XlVb	Dorea	Butyricicoccus	Veillonella	Dialister	Coprococcus	Lactonifactor	Murimonas	Veillonellaceae_unclassified	Holdemania	Pediococcus	Holdemanella	Megasphaera	Bacillales_unclassified	Acidaminococcus	Anaerofilum	Enterobacteriaceae_unclassified	Burkholderiales_unclassified	Bilophila	Parasutterella	Salmonella	Pseudomonas	Pasteurellaceae_unclassified	Helicobacter	Desulfovibrionaceae_unclassified	Sutterella	Neisseria	Campylobacter	Cronobacter	Acinetobacter	Proteobacteria_unclassified	Rhodobacter	Gammaproteobacteria_unclassified	Bifidobacterium	Collinsella	Enterorhabdus	Coriobacteriaceae_unclassified	Olsenella	Akkermansia	Fusobacterium	Anaeroplasma	Pyramidobacter	Bacteria_unclassified	Streptophyta_unclassified	Bacillariophyta_unclassified	Deinococcus	Methanobrevibacter	other
AMS01	AMS01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	40.0047984644914	0	3.48848368522073	0.31190019193858	0	1.98656429942418	0.00959692898272553	0	1.94817658349328	0	0.105566218809981	5.43666026871401	7.48560460652591	0.0575815738963532	0.446257197696737	0.0239923224568138	1.2763915547025	0	0.446257197696737	0.911708253358925	0.00479846449136276	0	0	0	0.00959692898272553	0.0191938579654511	2.63915547024952	0.0383877159309021	8.9299424184261	0.0767754318618042	0.0575815738963532	0.623800383877159	4.38579654510557	0	0	1.36756238003839	0.532629558541267	0	4.6785028790787	0	1.42514395393474	0.283109404990403	0	0.00479846449136276	0.287907869481766	0	0.148752399232246	1.80902111324376	0.59021113243762	0.393474088291747	0	0.398272552783109	0	0	0	0	0	0	0	0	0	0	0.0527831094049904	0.249520153550864	0.124760076775432	0.0383877159309021	0	0	2.49520153550864	0	0	1.34836852207294	0	0	0	0	0	0	0	2.04414587332054	0.374280230326296	0	0	0	0.00959692898272553	0	0	0	0.00479846449136276	0	0	0	0	0.614203454894437
AMS02	AMS02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	27.6009871411872	0	1.79677014330865	2.29034073689224	0	1.57163267956878	0	1.30319954972507	0.303069662726761	0	0	6.61990734727454	4.60665887344677	0.0086591332207646	0.961163787504871	0.0086591332207646	3.84465515001948	0.0043295666103823	2.61072866606053	1.64523531194527	0	0	0	0.0562843659349699	0	0.0519547993245876	1.26423345023163	0.0259773996622938	10.1052084686323	0.454604494090142	0.0519547993245876	1.64956487855566	5.83192622418496	0	0.0129886998311469	1.18630125124475	0.298740096116379	0	7.93609559683076	0	2.39425033554141	0.28142182967485	0	0.0086591332207646	0.086591332207646	0	0.043295666103823	0.9784820539464	0.0129886998311469	0.0086591332207646	0	0.285751396285232	0	0	0	0.0259773996622938	0	0	0	0	0	0	0.086591332207646	0	0.0389660994934407	0	0	0	0	0	0	0.0649434991557345	0	0	0	0	0.0043295666103823	0	0	0	1.11702818547863	0	1.22093778412781	0	7.71528769970126	0	0	0	0.103909598649175	0.0346365328830584	0	0	0	1.38546131532233
AMS03	AMS03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	1.77730192719486	0	0.942184154175589	0.620985010706638	0	0	0	0.0214132762312634	0	0	0	14.1541755888651	6.38115631691649	0.0214132762312634	0.770877944325482	0.107066381156317	3.64025695931478	0	4.47537473233405	0.835117773019272	0.0428265524625268	0	0	0	0.0642398286937901	0.0428265524625268	3.55460385438972	0.0642398286937901	4.34689507494647	0.0428265524625268	0.214132762312634	2.99785867237687	14.6038543897216	0.107066381156317	0	1.60599571734475	0.428265524625268	0	5.99571734475375	0	0	0.171306209850107	0	0	0.492505353319058	0.0428265524625268	0.278372591006424	2.33404710920771	0.0428265524625268	0.0214132762312634	2.95503211991435	1.60599571734475	0	0	0	0	0	0	0	0	2.07708779443255	0	0.0856531049250535	0	0	0.0214132762312634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0428265524625268	0	20.6423982869379	0	0	0	0.0856531049250535	0	0	0	0	1.24197002141328
AMS04	AMS04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	21.8631856765818	0	8.33155003923247	1.08424281332477	0	0	0	0	0.0499322348241672	0	0	1.09137598972823	1.83322633568728	0.0499322348241672	0.413724231400243	0.00713317640345246	45.987588273058	0	5.6566088879378	0.0570654112276197	0.0142663528069049	0	0	0	0	0.00713317640345246	0.356658820172623	0	3.11006491190527	0.206862115700121	0.156929880875954	0.356658820172623	0.278193879734646	0	0	0.206862115700121	0.178329410086311	0	0.470789642627862	0	0	0.00713317640345246	0	0	0.0499322348241672	0	0.142663528069049	0.37805834938298	0	0.0356658820172623	0.420857407803695	0.699051287538341	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0356658820172623	0.00713317640345246	0	0	0	0	0	0	0	0	0	0	0	0	0.0499322348241672	0.0499322348241672	0	0	0	5.46401312504458	0	0	0	0.0356658820172623	0	0	0	0	0.855981168414289
AMS05	AMS05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	human	NA	NA	NA	NA	fecal	NA	human	8.92708159519439	0	0.225262806607709	0.00834306691139663	0	0	0	0.0166861338227933	0	0	0.750876022025697	9.76138828633406	8.47655598197898	0.00834306691139663	0.725846821291507	0.0584014683797764	2.76989821458368	0	1.86050392124145	0.200233605873519	0.0417153345569831	0	0.00834306691139663	0	0	0.0166861338227933	2.45286167195061	0.0500584014683798	26.5059235775071	0.00834306691139663	0.191890538962122	3.17036542633072	0.0166861338227933	0.0166861338227933	0.0166861338227933	4.09644585349574	1.77707325212748	0	15.5765059235775	0.00834306691139663	0.00834306691139663	0.0917737360253629	0	0	0.283664274987485	0	0.0584014683797764	6.54096445853496	0.108459869848156	0	1.50175204405139	1.81878858668447	0	0	0	0	0	0	0	0	0	0	0.0166861338227933	0	0.0750876022025697	0	0	0	0	0	0	0.066744535291173	0	0	0	0	0	0	0	0.892708159519439	0	0	0.0417153345569831	0	0.108459869848156	0	0	0	0.0917737360253629	0	0	0	0	0.550642416152186
ApoE_1	ApoE_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	fecal	NA	mouse_survey	0.0571072578133112	36.9535873741045	3.28107153981933	0	1.71840930329145	0.0051915688921192	4.11691413145052	0	4.61011317620185	0	9.2202263524037	0.0103831377842384	23.8396843526114	0.0051915688921192	0.503582182535562	1.50036340982245	3.38490291766172	0	2.61135915273596	0.0571072578133112	0	0	0	0	0	0	0	0	0	0.809884747170595	0.0674903955975496	0	1.17329456961894	0	0	0	0	0	0	0	0	0	0.586647284809469	0	0	0.202471186792649	0.804693178278476	0.0830651022739072	0.166130204547814	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051915688921192	0.628179835946423	0	0	0	0	0.0051915688921192	0	0.524348458104039	0	0	0	0	0	0	0	0	0.0207662755684768	0	0.228429031253245	0.114214515626622	0	0.176513342332053	0	0.394559235801059	0	1.00716436507112	0	0	0	0.0051915688921192	1.12137888069775
ApoE_2	ApoE_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	fecal	NA	mouse_survey	0.0144182246359398	30.9415100687269	9.47757966069111	0	1.76382948046331	0	4.87816600182631	0	3.2585187677224	0	7.61282260777623	0	20.3345028115538	0	0.696880857403758	0.826644879127217	5.85860527707022	0.00480607487864661	3.0422453981833	0.120151871966165	0	0.0144182246359398	0	0	0	0	0	0.00961214975729322	0	0.79300235497669	0.0961214975729322	0	0	0	0	0	0.024030374393233	0	0	0	0	0.00961214975729322	0.245109818810977	0	0	0.31239486711203	0.365261690777142	0.0192242995145864	0.0817032729369924	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00480607487864661	1.20151871966165	0	0	0	0	0	0	0.326813091747969	0	0	0	0	0	0	0	0	0	0	0.0528668236651127	0.0720911231796991	0	0.086509347815639	0	2.10506079684721	0	4.53212861056375	0	0.00480607487864661	0	0	0.812226654491283
Blank_1	Blank_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF4	NA	NA	NA	NA	fecal	NA	control_neg	0.0452011450956758	0.100446989101502	0.0150670483652253	14.7556626990106	0.00502234945507508	0	0.00502234945507508	0.0150670483652253	0	0	0.0301340967304505	0	0.0552458440058259	0.00502234945507508	0.195871628747928	0	0.0150670483652253	0.808598262267089	0.356586811310331	0.467078499321983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100446989101502	0	0	0	0.0100446989101502	0	0	0	0.00502234945507508	0	0	0	0	0	0	0	0	1.3510120034152	0.542413741148109	0	0	0	0	51.0923610064788	0.00502234945507508	0.00502234945507508	7.22213851639797	0	0	0	0	0.00502234945507508	0	0	0.0552458440058259	0	0	0.00502234945507508	0.0100446989101502	0.0351564461855256	6.78519411380644	0.00502234945507508	0	1.18025212194264	0	0	0	13.2087790668475	1.5920847772588
c21_1835_1	d21_1835_1	1835_1	98.96193772	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1.29e+09	mouse	49.5857870046911	0.0199620720630801	2.17586585487574	3.80277472801677	0	1.68679508933027	0	0	0.758558738397046	0	1.16778121569019	5.30991116877932	5.36979738496856	1.91635891805569	0	6.11837508733406	4.47150414212995	0.0698672522207805	0.00998103603154007	0.0199620720630801	0	0	0	1.03802774728017	0	0.758558738397046	3.52330571913365	2.19582792693882	0.00998103603154007	0.469108693482383	0.129753468410021	0.578900089829324	0	0	0	0	0	0	0	0	0	0	0	0.718634594270885	0	0	0	0	0	0	0	0	0	0	0	0.0499051801577004	0	0	0	0	0	0	0.359317297135443	2.79469008883122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0499051801577004	4.51142828625611	0	0.00998103603154007	0	0	0	0	0	0	0	0	0	0	0.319393153009287
c21_1835_3	d21_1835_3	1835_3	103.5335689	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1.9e+08	mouse	49.6495093130383	0	2.49682889378463	2.98417784898858	0	2.11629614794045	0	0	0.707657387008479	0	0.781093530943321	5.35416249415849	4.11910007343614	4.40616863609053	0.0200280392549569	3.81867948461179	5.44762667734829	0.0200280392549569	0.0133520261699713	0.0133520261699713	0	0	0	0.627545229988651	0	0.52072902062888	5.00700981373924	3.18445824153815	0	0.707657387008479	0.113492222444756	0.494024968288938	0	0	0	0	0	0	0	0	0	0	0	0.353828693504239	0	0	0	0	0	0	0	0	0	0	0	0.100140196274785	0	0	0	0	0	0	0.620869216903665	2.68375726016423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126844248614727	3.0709660190934	0	0.00667601308498565	0	0	0	0	0	0	0	0	0	0	0.433940850524067
