seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType
r1262Dneg33	r1262Dneg33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
r1271Dneg12	r1271Dneg12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
r1271Dneg33	r1271Dneg33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
r1613Dneg12	r1613Dneg12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
r1613Dneg33	r1613Dneg33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
RAG205	RAG205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
RAG207	RAG207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
RAG209	RAG209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
SY27	SY27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
SY28	SY28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
SY32	SY32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
SY38	SY38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
SY41	SY41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
unfiltered_sporeprep1	unfiltered_sporeprep1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
unfiltered_sporeprep2	unfiltered_sporeprep2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HF3	NA	NA	NA	NA	NA	NA	mouse_survey
FVB_m_760_2	FVB_m_760_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	NA	NA	NA	mouse_survey
cecum_598_d15	cecum_598_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
cecum_600_d15	cecum_600_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
cecum_602_d15	cecum_602_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
cecum_603_d15	cecum_603_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
colon_592_d15	colon_592_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
colon_594_d15	colon_594_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
colon_595_d15	colon_595_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
colon_597_d15	colon_597_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
colon_598_d15	colon_598_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
colon_599_d15	colon_599_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
colon_600_d15	colon_600_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
colon_602_d15	colon_602_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
colon_603_d15	colon_603_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
cecum_592_d15	cecum_592_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
cecum_594_d15	cecum_594_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
cecum_595_d15	cecum_595_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
cecum_597_d15	cecum_597_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
cecum_599_d15	cecum_599_d15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Lisa	NA	NA	NA	NA	NA	NA	other
