clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.00158	
k__Bacteria|p__Firmicutes|c__CFGB9773	2|1239|	0.0012	
k__Bacteria|p__Bacteroidetes|c__CFGB529	2|976|	0.00076	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.00063	
k__Bacteria|p__Firmicutes|c__CFGB15209	2|1239|	0.00033	
k__Bacteria|p__Firmicutes|c__CFGB3040	2|1239|	7e-05	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	25.07331	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	22.14448	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	8.63145	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	5.98078	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified	2|||	4.46655	
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111	2|976||	4.2419	
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539	2|1239||	3.15749	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.88045	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.93556	
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635	2|976||	1.83576	
k__Bacteria|p__Firmicutes|c__CFGB28980|o__OFGB28980	2|1239||	1.45039	
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791	2|976||	0.91737	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.80979	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	2|||	0.75873	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.73217	
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645	2|1239||	0.65187	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.64208	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.62349	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.54624	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.5046	
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074	2|1239||	0.50183	
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.44919	
k__Bacteria|p__Firmicutes|c__CFGB9581|o__OFGB9581	2|1239||	0.43945	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157	2|95818||	0.37473	
k__Bacteria|p__Firmicutes|c__CFGB76081|o__OFGB76081	2|1239||	0.34345	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313	2|||	0.31411	
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644	2|1239||	0.3068	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311|o__OFGB76311	2|||	0.28238	
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322	2|1239||	0.27214	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.25824	
k__Bacteria|p__Firmicutes|c__CFGB76576|o__OFGB76576	2|1239||	0.2553	
k__Bacteria|p__Bacteroidetes|c__CFGB9397|o__OFGB9397	2|976||	0.24748	
k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355	2|1239||	0.24128	
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.23703	
k__Bacteria|p__Firmicutes|c__CFGB76351|o__OFGB76351	2|1239||	0.19737	
k__Bacteria|p__Firmicutes|c__CFGB10289|o__OFGB10289	2|1239||	0.19616	
k__Bacteria|p__Firmicutes|c__CFGB76235|o__OFGB76235	2|1239||	0.14599	
k__Bacteria|p__Firmicutes|c__CFGB76308|o__OFGB76308	2|1239||	0.12212	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.11516	
k__Bacteria|p__Firmicutes|c__CFGB75925|o__OFGB75925	2|1239||	0.10741	
