clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157	2|95818||	0.40039	
k__Bacteria|p__Firmicutes|c__CFGB10289|o__OFGB10289	2|1239||	0.38749	
k__Bacteria|p__Bacteria_unclassified|c__CFGB73496|o__OFGB73496	2|||	0.36958	
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539	2|1239||	0.31374	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.30881	
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.27638	
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074	2|1239||	0.23789	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.20511	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	2|||	0.20482	
k__Bacteria|p__Firmicutes|c__CFGB76310|o__OFGB76310	2|1239||	0.17597	
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791	2|976||	0.16875	
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.16317	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.12086	
k__Bacteria|p__Firmicutes|c__CFGB10667|o__OFGB10667	2|1239||	0.09467	
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322	2|1239||	0.06684	
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644	2|1239||	0.06304	
k__Bacteria|p__Firmicutes|c__CFGB49426|o__OFGB49426	2|1239||	0.06004	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.04187	
k__Bacteria|p__Firmicutes|c__CFGB10344|o__OFGB10344	2|1239||	0.02951	
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152	2|1239||	0.02199	
k__Bacteria|p__Firmicutes|c__CFGB1494|o__OFGB1494	2|1239||	0.02112	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313	2|||	0.02094	
k__Bacteria|p__Firmicutes|c__CFGB75984|o__OFGB75984	2|1239||	0.01925	
k__Bacteria|p__Firmicutes|c__CFGB28439|o__OFGB28439	2|1239||	0.01853	
k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355	2|1239||	0.01792	
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293	2|1239||	0.01584	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138	2|||	0.0135	
k__Bacteria|p__Firmicutes|c__CFGB9633|o__OFGB9633	2|1239||	0.01174	
k__Bacteria|p__Firmicutes|c__CFGB76081|o__OFGB76081	2|1239||	0.01086	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244|o__OFGB76244	2|||	0.0091	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311|o__OFGB76311	2|||	0.00715	
k__Bacteria|p__Firmicutes|c__CFGB76308|o__OFGB76308	2|1239||	0.00511	
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790	2|1239||	0.00196	
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941	2|1239||	0.00084	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	27.6728	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	15.90918	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	2|1239|1737404|1737405|1570339	10.63091	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	7.28375	
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635	2|976|||	6.48395	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	4.4561	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	2|1239|526524|526525|2810281	3.87319	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	2.2808	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.85693	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	2||||	1.74089	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.63678	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.4384	
k__Bacteria|p__Firmicutes|c__CFGB28980|o__OFGB28980|f__FGB28980	2|1239|||	1.02463	
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111	2|976|||	0.86547	
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077|f__FGB76077	2|1239|||	0.83612	
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645|f__FGB6645	2|1239|||	0.68318	
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926|f__FGB72926	2|1239|||	0.62439	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.60574	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	0.59557	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.59285	
k__Bacteria|p__Bacteroidetes|c__CFGB9397|o__OFGB9397|f__FGB9397	2|976|||	0.57064	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.48947	
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659|f__FGB9659	2|1239|||	0.41054	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157|f__FGB8157	2|95818|||	0.40039	
k__Bacteria|p__Firmicutes|c__CFGB10289|o__OFGB10289|f__FGB10289	2|1239|||	0.38749	
k__Bacteria|p__Bacteria_unclassified|c__CFGB73496|o__OFGB73496|f__FGB73496	2||||	0.36958	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.31463	
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539|f__FGB76539	2|1239|||	0.31374	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.30881	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.27743	
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479|f__FGB9479	2|1239|||	0.27638	
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074|f__FGB76074	2|1239|||	0.23789	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	0.20511	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064	2||||	0.20482	
k__Bacteria|p__Firmicutes|c__CFGB76310|o__OFGB76310|f__FGB76310	2|1239|||	0.17597	
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791|f__FGB1791	2|976|||	0.16875	
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827|f__FGB9827	2|1239|||	0.16317	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.13308	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227	2|1239|||	0.12086	
