clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__CFGB76351|o__OFGB76351	2|1239||	1.01761	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.68484	
k__Bacteria|p__Firmicutes|c__CFGB1494|o__OFGB1494	2|1239||	0.64814	
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293	2|1239||	0.44215	
k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645	2|1239||	0.39263	
k__Bacteria|p__Bacteroidetes|c__CFGB9397|o__OFGB9397	2|976||	0.36441	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.3554	
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077	2|1239||	0.28465	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064	2|||	0.28365	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157|o__OFGB8157	2|95818||	0.24784	
k__Bacteria|p__Firmicutes|c__CFGB76565|o__OFGB76565	2|1239||	0.24606	
k__Bacteria|p__Firmicutes|c__CFGB9827|o__OFGB9827	2|1239||	0.2174	
k__Bacteria|p__Firmicutes|c__CFGB75925|o__OFGB75925	2|1239||	0.2152	
k__Bacteria|p__Firmicutes|c__CFGB76322|o__OFGB76322	2|1239||	0.19378	
k__Bacteria|p__Firmicutes|c__CFGB28980|o__OFGB28980	2|1239||	0.1892	
k__Bacteria|p__Firmicutes|c__CFGB76310|o__OFGB76310	2|1239||	0.181	
k__Bacteria|p__Firmicutes|c__CFGB49426|o__OFGB49426	2|1239||	0.14854	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76311|o__OFGB76311	2|||	0.13982	
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074	2|1239||	0.1118	
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152	2|1239||	0.11065	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313|o__OFGB76313	2|||	0.09498	
k__Bacteria|p__Firmicutes|c__CFGB9506|o__OFGB9506	2|1239||	0.08531	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.0843	
k__Bacteria|p__Firmicutes|c__CFGB10667|o__OFGB10667	2|1239||	0.07764	
k__Bacteria|p__Firmicutes|c__CFGB9644|o__OFGB9644	2|1239||	0.06713	
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	0.06381	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.05352	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76244|o__OFGB76244	2|||	0.02846	
k__Bacteria|p__Firmicutes|c__CFGB48875|o__OFGB48875	2|1239||	0.02346	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	2|201174|84992|84993	0.02193	
k__Bacteria|p__Firmicutes|c__CFGB9479|o__OFGB9479	2|1239||	0.01912	
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790	2|1239||	0.01799	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318	2|95818||	0.01747	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76138|o__OFGB76138	2|||	0.01634	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.01573	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.01532	
k__Bacteria|p__Firmicutes|c__CFGB9659|o__OFGB9659	2|1239||	0.01491	
k__Bacteria|p__Bacteria_unclassified|c__CFGB73496|o__OFGB73496	2|||	0.00914	
k__Bacteria|p__Firmicutes|c__CFGB9960|o__OFGB9960	2|1239||	0.00665	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.00502	
k__Bacteria|p__Firmicutes|c__CFGB76234|o__OFGB76234	2|1239||	0.0038	
k__Bacteria|p__Firmicutes|c__CFGB75984|o__OFGB75984	2|1239||	0.00343	
k__Bacteria|p__Firmicutes|c__CFGB76308|o__OFGB76308	2|1239||	0.00337	
k__Bacteria|p__Firmicutes|c__CFGB28941|o__OFGB28941	2|1239||	0.00295	
k__Bacteria|p__Firmicutes|c__CFGB73904|o__OFGB73904	2|1239||	0.00289	
k__Bacteria|p__Firmicutes|c__CFGB76235|o__OFGB76235	2|1239||	0.00109	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	23.62887	
k__Bacteria|p__Firmicutes|c__CFGB76539|o__OFGB76539|f__FGB76539	2|1239|||	18.80544	
